time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450750000	12.4674	21.0095	4.86977	3.01566	0.539105	radar	2.72779	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2205	21.0492	4.87964	3.03971	0.536749	lidar	0.209906	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9807	21.0703	4.87995	3.06839	0.540142	radar	1.07694	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7327	21.0505	4.87324	3.10528	0.547697	lidar	1.9379	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4836	21.0391	4.87685	3.1391	0.553849	radar	1.25815	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2604	21.0386	4.85565	3.16497	0.552842	lidar	0.605217	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0044	21.0029	4.86685	3.20232	0.561459	radar	4.45726	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7856	20.9721	4.83852	3.23305	0.56398	lidar	0.71384	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5384	20.9638	4.83846	3.25242	0.55308	radar	4.90128	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2719	20.9814	4.87457	3.2669	0.542412	lidar	3.18708	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0334	20.9609	4.87208	3.28965	0.538654	radar	0.985376	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82721	20.9255	4.83534	3.31525	0.538311	lidar	1.66777	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59497	20.9084	4.81632	3.32845	0.522494	radar	2.73138	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39055	20.858	4.7819	3.35563	0.523907	lidar	1.20307	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16568	20.8174	4.77178	3.37749	0.52018	radar	1.59969	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89125	20.7757	4.81878	3.39745	0.514765	lidar	2.06196	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67114	20.7007	4.80504	3.42655	0.517274	radar	4.37328	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40648	20.6134	4.84395	3.456	0.519355	lidar	2.6287	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17847	20.5346	4.84316	3.48246	0.519897	radar	0.0379703	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93947	20.4527	4.8558	3.50724	0.518766	lidar	0.155549	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72146	20.3696	4.85403	3.53382	0.521452	radar	3.36771	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.43585	20.3031	4.91633	3.54711	0.510662	lidar	4.08046	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.20989	20.2044	4.91364	3.57108	0.508325	radar	0.295964	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.95275	20.1188	4.94677	3.58797	0.501272	lidar	1.31114	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.73404	20.0234	4.93413	3.60754	0.495495	radar	0.67571	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.48769	19.9306	4.95751	3.62382	0.488628	lidar	0.934614	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.2759	19.8344	4.94176	3.64202	0.483218	radar	2.97291	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.0183	19.7386	4.97789	3.65453	0.473751	lidar	1.8723	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.79585	19.5974	4.99843	3.68406	0.480094	radar	1.67126	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.60053	19.4792	4.97648	3.70648	0.479203	lidar	0.900591	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.40003	19.3321	4.97355	3.73481	0.48285	radar	1.47636	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.18193	19.23	4.97208	3.7466	0.473413	lidar	2.33334	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.99144	19.1131	4.93637	3.76188	0.464374	radar	4.90326	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.81159	18.9662	4.91798	3.78819	0.467005	lidar	0.362414	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.60769	18.8176	4.9309	3.81065	0.467187	radar	1.4888	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.42081	18.6866	4.91519	3.82853	0.463193	lidar	1.2337	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
